2011-07-18,10.46
2011-07-19,10.58
2011-07-20,10.49
2011-07-21,10.47
2011-07-22,10.42
2011-07-25,10.24
2011-07-26,10.12
2011-07-27,9.94
2011-07-28,9.79
2011-07-29,9.96
2011-08-01,9.72
2011-08-02,9.39
2011-08-03,9.65
2011-08-04,8.84
2011-08-05,8.47
2011-08-08,8.08
2011-08-09,8.44
2011-08-10,8.17
2011-08-11,8.29
2011-08-12,8.31
2011-08-15,8.5
2011-08-16,8.53
2011-08-17,8.47
2011-08-18,8.04
2011-08-19,7.89
2011-08-22,7.85
2011-08-23,8.01
2011-08-24,8.21
2011-08-25,8.12
2011-08-26,8.2
2011-08-29,8.68
2011-08-30,8.54
2011-08-31,8.62
2011-09-01,8.43
2011-09-02,8.25
2011-09-06,8.06
2011-09-07,8.35
2011-09-08,8.13
2011-09-09,8.06
2011-09-12,7.96
2011-09-13,8.31
2011-09-14,8.5
2011-09-15,8.6
2011-09-16,8.97
2011-09-19,8.67
2011-09-20,8.49
2011-09-21,8.3
2011-09-22,8.03
2011-09-23,8.38
2011-09-26,8.71
2011-09-27,8.53
2011-09-28,8.53
2011-09-29,8.63
2011-09-30,8.04
2011-10-03,7.35
2011-10-04,7.5
2011-10-05,7.57
2011-10-06,7.86
2011-10-07,7.69
2011-10-10,7.97
2011-10-11,8.15
2011-10-12,8.33
2011-10-13,8.61
2011-10-14,8.61
2011-10-17,8.61
2011-10-18,8.82
2011-10-19,8.71
2011-10-20,9.1
2011-10-21,8.87
2011-10-24,9.06
2011-10-25,8.72
2011-10-26,8.63
2011-10-27,8.85
2011-10-28,8.78
2011-10-31,8.55
2011-11-01,8.46
2011-11-02,8.48
2011-11-03,8.59
2011-11-04,8.53
2011-11-07,8.42
2011-11-08,8.47
2011-11-09,8.17
2011-11-10,8.11
2011-11-11,8.21
2011-11-14,8.19
2011-11-15,8.2
2011-11-16,8.05
2011-11-17,7.78
2011-11-18,7.81
2011-11-21,7.73
2011-11-22,7.65
2011-11-23,7.4
2011-11-25,7.5
2011-11-28,7.87
2011-11-29,7.93
2011-11-30,8.38
2011-12-01,8.33
2011-12-02,8.28
2011-12-05,8.47
2011-12-06,8.54
2011-12-07,8.58
2011-12-08,8.27
2011-12-09,8.44
2011-12-12,8.43
2011-12-13,8.16
2011-12-14,8.17
2011-12-15,8.42
2011-12-16,8.71
2011-12-19,8.3
2011-12-20,8.48
2011-12-21,8.37
2011-12-22,8.4
2011-12-23,8.58
2011-12-27,8.51
2011-12-28,8.4
2011-12-29,8.6
2011-12-30,8.56
2012-01-03,8.41
2012-01-04,8.6
2012-01-05,8.62
2012-01-06,8.52
2012-01-09,8.59
2012-01-10,8.71
2012-01-11,8.88
2012-01-12,8.97
2012-01-13,8.84
2012-01-17,8.94
2012-01-18,9.02
2012-01-19,9.3
2012-01-20,9.4
2012-01-23,9.28
2012-01-24,9.16
2012-01-25,9.51
2012-01-26,9.38
2012-01-27,9.62
2012-01-30,9.38
2012-01-31,9.58
2012-02-01,9.74
2012-02-02,9.75
2012-02-03,10.04
2012-02-06,9.75
2012-02-07,9.64
2012-02-08,9.63
2012-02-09,9.78
2012-02-10,9.62
2012-02-13,9.72
2012-02-14,9.59
2012-02-15,9.53
2012-02-16,9.59
2012-02-17,9.43
2012-02-21,9.1
2012-02-22,9.02
2012-02-23,8.87
2012-02-24,8.68
2012-02-27,8.82
2012-02-28,8.95
2012-02-29,8.98
2012-03-01,8.88
2012-03-02,8.96
2012-03-05,8.74
2012-03-06,8.6
2012-03-07,8.49
2012-03-08,8.5
2012-03-09,8.48
2012-03-12,8.28
2012-03-13,8.41
2012-03-14,8.18
2012-03-15,8.45
2012-03-16,8.31
2012-03-19,8.41
2012-03-20,8.39
2012-03-21,8.32
2012-03-22,8.19
2012-03-23,8.23
2012-03-26,8.35
2012-03-27,8.23
2012-03-28,8.36
2012-03-29,8.4
2012-03-30,8.24
2012-04-02,8.26
2012-04-03,8.2
2012-04-04,8.38
2012-04-05,8.31
2012-04-09,8.22
2012-04-10,7.91
2012-04-11,7.95
2012-04-12,8.14
2012-04-13,7.94
2012-04-16,7.99
2012-04-17,8.08
2012-04-18,7.89
2012-04-19,8.23
2012-04-20,7.91
2012-04-23,7.88
2012-04-24,8.02
2012-04-25,7.98
2012-04-26,8.09
2012-04-27,8.25
2012-04-30,8.28
2012-05-01,8.28
2012-05-02,8.17
2012-05-03,8.22
2012-05-04,8.1
2012-05-07,8.26
2012-05-08,8.27
2012-05-09,8.2
2012-05-10,8.1
2012-05-11,8.05
2012-05-14,8.08
2012-05-15,8.07
2012-05-16,8.21
2012-05-17,8.35
2012-05-18,8.15
2012-05-21,8.34
2012-05-22,8.27
2012-05-23,8.36
2012-05-24,8.74
2012-05-25,8.76
2012-05-29,8.94
2012-05-30,8.87
2012-05-31,9.03
2012-06-01,8.95
2012-06-04,8.6
2012-06-05,8.66
2012-06-06,8.8
2012-06-07,8.86
2012-06-08,9.06
2012-06-11,8.98
2012-06-12,8.99
2012-06-13,9.19
2012-06-14,9.2
2012-06-15,8.93
2012-06-18,9.03
2012-06-19,9.23
2012-06-20,9.31
2012-06-21,9.21
2012-06-22,9.21
2012-06-25,8.76
2012-06-26,8.87
2012-06-27,9.14
2012-06-28,9.21
2012-06-29,9.22
2012-07-02,9.31
2012-07-03,9.28
2012-07-05,9.15
2012-07-06,9.27
2012-07-09,9.24
2012-07-10,9.63
2012-07-11,9.56
2012-07-12,9.31
2012-07-13,9.44
2012-07-16,9.42
2012-07-17,9.39
2012-07-18,9.42
2012-07-19,9.15
2012-07-20,8.86
2012-07-23,8.71
2012-07-24,8.66
2012-07-25,8.47
2012-07-26,8.68
2012-07-27,8.9
2012-07-30,9.15
2012-07-31,9.19
2012-08-01,9.18
2012-08-02,8.94
2012-08-03,9.13
2012-08-06,9.26
2012-08-07,9.09
2012-08-08,9.1
2012-08-09,9.04
2012-08-10,9.07
2012-08-13,9.12
2012-08-14,9.01
2012-08-15,9.02
2012-08-16,9.07
2012-08-17,9.13
2012-08-20,9.44
2012-08-21,9.46
2012-08-22,9.32
2012-08-23,9.3
2012-08-24,9.21
2012-08-27,9.07
2012-08-28,8.98
2012-08-29,8.89
2012-08-30,8.96
2012-08-31,8.94
2012-09-04,8.85
2012-09-05,9.09
2012-09-06,9.21
2012-09-07,9.19
2012-09-10,9.15
2012-09-11,8.95
2012-09-12,9.18
2012-09-13,9.11
2012-09-14,9.07
2012-09-17,9.05
2012-09-18,8.92
2012-09-19,9.06
2012-09-20,8.94
2012-09-21,8.84
2012-09-24,8.89
2012-09-25,8.84
2012-09-26,8.92
2012-09-27,8.88
2012-09-28,8.77
2012-10-01,8.86
2012-10-02,8.98
2012-10-03,9.14
2012-10-04,9.1
2012-10-05,8.97
2012-10-08,8.86
2012-10-09,8.75
2012-10-10,8.77
2012-10-11,8.71
2012-10-12,8.84
2012-10-15,8.89
2012-10-16,8.88
2012-10-17,8.95
2012-10-18,8.98
2012-10-19,8.88
2012-10-22,8.83
2012-10-23,8.79
2012-10-24,8.75
2012-10-25,8.83
2012-10-26,8.74
2012-10-31,8.82
2012-11-01,9.05
2012-11-02,9.03
2012-11-05,9.04
2012-11-06,9.15
2012-11-07,9.01
2012-11-08,9.18
2012-11-09,9.06
2012-11-12,9.07
2012-11-13,9.03
2012-11-14,8.76
2012-11-15,8.84
2012-11-16,8.93
2012-11-19,9.1
2012-11-20,9.11
2012-11-21,9.23
2012-11-23,9.37
2012-11-26,9.4
2012-11-27,9.29
2012-11-28,9.43
2012-11-29,9.5
2012-11-30,9.53
2012-12-03,9.44
2012-12-04,9.63
2012-12-05,9.79
2012-12-06,9.88
2012-12-07,9.81
2012-12-10,9.84
2012-12-11,10.12
2012-12-12,10.02
2012-12-13,10.14
2012-12-14,10.19
2012-12-17,10.36
2012-12-18,10.5
2012-12-19,10.56
2012-12-20,10.54
2012-12-21,10.46
2012-12-24,10.43
2012-12-26,10.31
2012-12-27,10.26
2012-12-28,10.16
2012-12-31,10.24
2013-01-02,10.47
2013-01-03,10.72
2013-01-04,10.88
2013-01-07,10.91
2013-01-08,11.03
2013-01-09,11.0
2013-01-10,11.07
2013-01-11,11.05
2013-01-14,11.02
2013-01-15,11.08
2013-01-16,11.28
2013-01-17,11.4
2013-01-18,11.26
2013-01-22,11.48
2013-01-23,11.36
2013-01-24,11.45
2013-01-25,11.44
2013-01-28,11.43
2013-01-29,11.33
2013-01-30,11.24
2013-01-31,11.21
2013-02-01,11.23
2013-02-04,11.18
2013-02-05,11.27
2013-02-06,11.47
2013-02-07,11.61
2013-02-08,11.64
2013-02-11,11.65
2013-02-12,11.55
2013-02-13,11.61
2013-02-14,11.47
2013-02-15,11.6
2013-02-19,11.7
2013-02-20,11.43
2013-02-21,11.45
2013-02-22,11.6
2013-02-25,11.32
2013-02-26,11.4
2013-02-27,11.82
2013-02-28,11.7
2013-03-01,11.82
2013-03-04,12.04
2013-03-05,12.11
2013-03-06,12.05
2013-03-07,12.09
2013-03-08,12.26
2013-03-11,12.33
2013-03-12,12.34
2013-03-13,12.45
2013-03-14,12.55
2013-03-15,12.38
2013-03-18,12.56
2013-03-19,12.64
2013-03-20,12.79
2013-03-21,12.76
2013-03-22,12.87
2013-03-25,12.86
2013-03-26,12.95
2013-03-27,13.19
2013-03-28,13.48
2013-04-01,13.23
2013-04-02,12.68
2013-04-03,12.54
2013-04-04,12.8
2013-04-05,12.81
2013-04-08,12.93
2013-04-09,12.9
2013-04-10,13.04
2013-04-11,13.09
2013-04-12,13.15
2013-04-15,12.67
2013-04-16,13.18
2013-04-17,13.15
2013-04-18,12.98
2013-04-19,13.34
2013-04-22,13.17
2013-04-23,13.34
2013-04-24,13.42
2013-04-25,13.42
2013-04-26,13.39
2013-04-29,13.54
2013-04-30,13.7
2013-05-01,13.48
2013-05-02,13.76
2013-05-03,14.07
2013-05-06,14.25
2013-05-07,14.23
2013-05-08,14.33
2013-05-09,14.09
2013-05-10,14.16
2013-05-13,13.95
2013-05-14,13.98
2013-05-15,14.34
2013-05-16,14.14
2013-05-17,14.38
2013-05-20,14.25
2013-05-21,14.31
2013-05-22,14.03
2013-05-23,14.37
2013-05-24,14.28
2013-05-28,14.27
2013-05-29,14.13
2013-05-30,14.27
2013-05-31,14.17
2013-06-03,14.0
2013-06-04,13.92
2013-06-05,13.63
2013-06-06,13.5
2013-06-07,13.88
2013-06-10,13.98
2013-06-11,13.95
2013-06-12,13.87
2013-06-13,13.98
2013-06-14,13.87
2013-06-17,13.78
2013-06-18,13.86
2013-06-19,13.69
2013-06-20,13.53
2013-06-21,13.48
2013-06-24,13.31
2013-06-25,13.35
2013-06-26,12.97
2013-06-27,13.04
2013-06-28,12.89
2013-07-01,13.11
2013-07-02,12.71
2013-07-03,12.71
2013-07-05,12.79
2013-07-08,12.91
2013-07-09,13.1
2013-07-10,13.14
2013-07-11,13.29
2013-07-12,13.46
2013-07-15,13.48
2013-07-16,13.4
2013-07-17,13.65
2013-07-18,13.78
2013-07-19,13.81
2013-07-22,13.87
2013-07-23,13.89
2013-07-24,13.76
2013-07-25,13.81
2013-07-26,13.79
2013-07-29,13.7
2013-07-30,13.82
2013-07-31,13.83
2013-08-01,14.2
2013-08-02,14.19
2013-08-05,14.09
2013-08-06,13.84
2013-08-07,13.77
2013-08-08,13.86
2013-08-09,13.74
2013-08-12,13.72
2013-08-13,13.47
2013-08-14,13.5
2013-08-15,13.32
2013-08-16,13.34
2013-08-19,13.11
2013-08-20,13.15
2013-08-21,13.05
2013-08-22,13.19
2013-08-23,13.27
2013-08-26,13.27
2013-08-27,12.8
2013-08-28,12.77
2013-08-29,12.79
2013-08-30,12.81
2013-09-03,12.82
2013-09-04,13.01
2013-09-05,13.09
2013-09-06,13.1
2013-09-09,13.27
2013-09-10,13.9
2013-09-11,13.85
2013-09-12,13.75
2013-09-13,13.9
2013-09-16,14.1
2013-09-17,14.22
2013-09-18,14.25
2013-09-19,14.54
2013-09-20,14.41
2013-09-23,14.43
2013-09-24,14.7
2013-09-25,14.59
2013-09-26,14.7
2013-09-27,14.64
2013-09-30,14.56
2013-10-01,14.73
2013-10-02,14.67
2013-10-03,14.72
2013-10-04,14.89
2013-10-07,14.87
2013-10-08,14.82
2013-10-09,14.95
2013-10-10,15.12
2013-10-11,15.23
2013-10-14,15.31
2013-10-15,15.2
2013-10-16,15.6
2013-10-17,16.01
2013-10-18,16.07
2013-10-21,16.09
2013-10-22,16.360001
2013-10-23,16.41
2013-10-24,17.02
2013-10-25,17.17
2013-10-28,17.1
2013-10-29,17.16
2013-10-30,17.129998999999998
2013-10-31,17.219998999999998
2013-11-01,17.469998999999998
2013-11-04,17.870001000000002
2013-11-05,17.870001000000002
2013-11-06,17.799999
2013-11-07,17.57
2013-11-08,17.690001000000002
2013-11-11,17.809998999999998
2013-11-12,18.030001000000002
2013-11-13,18.0
2013-11-14,18.18
2013-11-15,18.16
2013-11-18,18.139999
2013-11-19,18.17
2013-11-20,18.01
2013-11-21,18.450001
2013-11-22,18.559998999999998
2013-11-25,18.549999
2013-11-26,18.540001
2013-11-27,18.950001
2013-11-29,18.59
2013-12-02,18.610001
2013-12-03,18.280001000000002
2013-12-04,17.9
2013-12-05,18.0
2013-12-06,18.309998999999998
2013-12-09,18.5
2013-12-10,18.58
2013-12-11,17.969998999999998
2013-12-12,18.790001
2013-12-13,18.629998999999998
2013-12-16,18.73
2013-12-17,18.32
2013-12-18,18.66
2013-12-19,18.620001000000002
2013-12-20,18.860001
2013-12-23,18.889999
2013-12-24,18.93
2013-12-26,18.93
2013-12-27,18.74
2013-12-30,18.83
2013-12-31,18.84
2014-01-02,18.879998999999998
2014-01-03,19.42
2014-01-06,19.15
2014-01-07,19.530001000000002
2014-01-08,20.18
2014-01-09,20.76
